test_name,metric,control_rate,treatment_rate,control_ci_lower,control_ci_upper,treatment_ci_lower,treatment_ci_upper,control_n,treatment_n,z_statistic,p_value,is_significant,relative_lift,absolute_lift,pooled_se,sample_size,information_fraction,adjusted_alpha,sequential_significant
Image Layout Test,clicked_cta,0.184,0.208,0.1500361370520284,0.2179638629479716,0.17242398110283086,0.24357601889716912,500,500,-0.9559280073117222,0.33910860795643194,False,0.13043478260869562,0.023999999999999994,0.025106493184035083,1000,0.004031721585434196,0.0,False
Image Layout Test,clicked_cta,0.18681318681318682,0.20938628158844766,0.1541204936894064,0.21950587993696724,0.17550580632807153,0.2432667568488238,546,554,-0.9390227451441907,0.3477190665444323,False,0.12083244850286687,0.022573094775260844,0.024038922264651486,1100,0.004434893743977616,0.0,False
Image Layout Test,clicked_cta,0.18090452261306533,0.208955223880597,0.15002625678902487,0.2117827884371058,0.17650508312841343,0.2414053646327806,597,603,-1.2262631449363817,0.2200996656800298,False,0.15505804311774454,0.028050701267531675,0.02287494440598795,1200,0.004838065902521035,0.0,False
Image Layout Test,clicked_cta,0.1889400921658986,0.20647149460708783,0.15886921302511053,0.21901097130668667,0.17533017157533118,0.23761281763884448,651,649,-0.7935831943847363,0.4274381192006501,False,0.09278815438385518,0.017531402441189226,0.02209144871670486,1300,0.005241238061064455,0.0,False
Image Layout Test,clicked_cta,0.19258202567760344,0.21602288984263232,0.16339121448428945,0.22177283687091742,0.1855150765189929,0.24653070316627174,701,699,-1.0877012332572646,0.27672702313221564,False,0.12171885762729813,0.023440864165028885,0.02155082981273463,1400,0.005644410219607875,0.0,False
Image Layout Test,clicked_cta,0.19072847682119207,0.21610738255033557,0.16270451615491816,0.21875243748746598,0.18655224101459675,0.2456625240860744,755,745,-1.2210579117427545,0.22206409379520742,False,0.13306301267710655,0.025378905729143503,0.020784358780265768,1500,0.006047582378151294,0.0,False
Image Layout Test,clicked_cta,0.1970074812967581,0.21553884711779447,0.16948053625708837,0.22453442633642784,0.1870092825000259,0.24406841173556304,802,798,-0.9160036835721735,0.35966496289387273,False,0.09406427461057702,0.018531365821036372,0.020230667357983668,1600,0.006450754536694714,0.0,False
Image Layout Test,clicked_cta,0.20187793427230047,0.21933962264150944,0.17492491767854548,0.22883095086605545,0.19148868765717206,0.24719055762584682,852,848,-0.882898230195929,0.37729125992615875,False,0.08649627029398863,0.017461688369208972,0.019777690986348392,1700,0.006853926695238133,0.0,False
Image Layout Test,clicked_cta,0.2,0.22134831460674156,0.17401113063038226,0.22598886936961776,0.19407343693548038,0.24862319227800275,910,890,-1.1107054487968155,0.2666951560968355,False,0.10674157303370777,0.021348314606741553,0.019220500475501726,1800,0.007257098853781553,0.0,False
Image Layout Test,clicked_cta,0.1991657977059437,0.21891604675876727,0.17388926649534914,0.22444232891653826,0.19249555263805887,0.24533654087947568,959,941,-1.058714225613954,0.2897299472214384,False,0.09916486304532884,0.019750249052823576,0.018654938769119025,1900,0.007660271012324973,0.0,False
